Data;Plot;Treatment;Fuel Load (kg/m2); w (kg/m2);Rate_spread;Intensity 
Ago_2015;4;1_yr;"0,24";"0,46";0.17;1221.9
Ago_2015;11;1_yr;"0,24";"0,4";0.15;935.7
Ago_2015;16;1_yr;"0,35";"0,57";0.1;897.1
Ago_2015;20;1_yr;"0,4";"0,61";0.14;1308.6
Ago_2015;2;2_yrs;"0,69";"0,82";0.18;2337.8
Ago_2015;10;2_yrs;"0,49";"0,61";0.11;1066.6
Ago_2015;17;2_yrs;"0,79";"0,95";0.25;3695.3
Ago_2015;23;2_yrs;"0,81";"1,02";0.25;4027.3
Ago_2015;5;4_yrs;"0,83";"1,05";0.25;4067.5
Ago_2015;7;4_yrs;"0,81";"0,99";0.2;2998.2
Ago_2015;15;4_yrs;"0,87";"1,04";0.18;2963.1
Ago_2015;21;4_yrs;"0,97";"1,14";0.19;3299.2
