"Data";"Plot";"Treatment";"time_last_fire";"alt_sensor";"soil_heating";"surface";"mean_surf";"mean_dead";"sd_f";"mean_fd";"sd_fd"
"julho_2015";17;"Bienal";"2_yrs";"aunderground";45;581;519;0,78588;0,259554583084175;319;106,351618072631
"julho_2015";17;"Bienal";"2_yrs";"aunderground";63;505;519;0,78588;0,259554583084175;319;106,351618072631
"julho_2015";17;"Bienal";"2_yrs";"aunderground";59;490;519;0,78588;0,259554583084175;319;106,351618072631
"julho_2015";17;"Bienal";"2_yrs";"aunderground";66;500;519;0,78588;0,259554583084175;319;106,351618072631
"julho_2015";10;"Bienal";"2_yrs";"aunderground";82;407;362,5;0,488968;0,0834313053955169;491,333333333333;219,784743176894
"julho_2015";10;"Bienal";"2_yrs";"aunderground";64;260;362,5;0,488968;0,0834313053955169;491,333333333333;219,784743176894
"julho_2015";10;"Bienal";"2_yrs";"aunderground";38;431;362,5;0,488968;0,0834313053955169;491,333333333333;219,784743176894
"julho_2015";10;"Bienal";"2_yrs";"aunderground";41;352;362,5;0,488968;0,0834313053955169;491,333333333333;219,784743176894
"julho_2015";23;"Bienal";"2_yrs";"aunderground";39;460;339;0,810256;0,211628122138812;323;109,28250851196
"julho_2015";23;"Bienal";"2_yrs";"aunderground";39;362;339;0,810256;0,211628122138812;323;109,28250851196
"julho_2015";23;"Bienal";"2_yrs";"aunderground";45;371;339;0,810256;0,211628122138812;323;109,28250851196
"julho_2015";23;"Bienal";"2_yrs";"aunderground";63;163;339;0,810256;0,211628122138812;323;109,28250851196
"julho_2015";2;"Bienal";"2_yrs";"aunderground";39;176;333,25;0,690104;0,378336126321555;387;62,83311228962
"julho_2015";2;"Bienal";"2_yrs";"aunderground";65;296;333,25;0,690104;0,378336126321555;387;62,83311228962
"julho_2015";2;"Bienal";"2_yrs";"aunderground";64;384;333,25;0,690104;0,378336126321555;387;62,83311228962
"julho_2015";2;"Bienal";"2_yrs";"aunderground";38;477;333,25;0,690104;0,378336126321555;387;62,83311228962
"julho_2015";20;"anual";"1_yr";"aunderground";29;249;303,5;0,395603333333333;0,268348045170198;399,5;128,502918254801
"julho_2015";20;"anual";"1_yr";"aunderground";64;291;303,5;0,395603333333333;0,268348045170198;399,5;128,502918254801
"julho_2015";20;"anual";"1_yr";"aunderground";36;286;303,5;0,395603333333333;0,268348045170198;399,5;128,502918254801
"julho_2015";20;"anual";"1_yr";"aunderground";30;388;303,5;0,395603333333333;0,268348045170198;399,5;128,502918254801
"julho_2015";16;"anual";"1_yr";"aunderground";30;288;318;0,34974;0,122019350596534;406;161,220346110533
"julho_2015";16;"anual";"1_yr";"aunderground";62;366;318;0,34974;0,122019350596534;406;161,220346110533
"julho_2015";16;"anual";"1_yr";"aunderground";63;300;318;0,34974;0,122019350596534;406;161,220346110533
"julho_2015";11;"anual";"1_yr";"aunderground";40;280;295,75;0,238326666666667;0,0765383738177567;240;28,2842712474619
"julho_2015";11;"anual";"1_yr";"aunderground";48;260;295,75;0,238326666666667;0,0765383738177567;240;28,2842712474619
"julho_2015";11;"anual";"1_yr";"aunderground";34;368;295,75;0,238326666666667;0,0765383738177567;240;28,2842712474619
"julho_2015";11;"anual";"1_yr";"aunderground";49;275;295,75;0,238326666666667;0,0765383738177567;240;28,2842712474619
"julho_2015";4;"anual";"1_yr";"aunderground";31;667;398,5;0,239503333333333;0,0277197616632371;494;332,252915713316
"julho_2015";4;"anual";"1_yr";"aunderground";29;292;398,5;0,239503333333333;0,0277197616632371;494;332,252915713316
"julho_2015";4;"anual";"1_yr";"aunderground";68;335;398,5;0,239503333333333;0,0277197616632371;494;332,252915713316
"julho_2015";4;"anual";"1_yr";"aunderground";34;300;398,5;0,239503333333333;0,0277197616632371;494;332,252915713316
"julho_2015";7;"quadrienal";"4_yrs";"aunderground";60;252;245,25;0,806723333333333;0,373504312888977;407,333333333333;199,773204743112
"julho_2015";7;"quadrienal";"4_yrs";"aunderground";43;214;245,25;0,806723333333333;0,373504312888977;407,333333333333;199,773204743112
"julho_2015";7;"quadrienal";"4_yrs";"aunderground";62;208;245,25;0,806723333333333;0,373504312888977;407,333333333333;199,773204743112
"julho_2015";7;"quadrienal";"4_yrs";"aunderground";63;307;245,25;0,806723333333333;0,373504312888977;407,333333333333;199,773204743112
"julho_2015";5;"quadrienal";"4_yrs";"aunderground";39;394;344;0,82501;0,29708673366544;276,5;104,286464446095
"julho_2015";5;"quadrienal";"4_yrs";"aunderground";72;275;344;0,82501;0,29708673366544;276,5;104,286464446095
"julho_2015";5;"quadrienal";"4_yrs";"aunderground";80;169;344;0,82501;0,29708673366544;276,5;104,286464446095
"julho_2015";5;"quadrienal";"4_yrs";"aunderground";40;538;344;0,82501;0,29708673366544;276,5;104,286464446095
"julho_2015";15;"quadrienal";"4_yrs";"aunderground";131;408;389;0,868406666666667;0,231234375529822;353;117,365525886721
"julho_2015";15;"quadrienal";"4_yrs";"aunderground";84;368;389;0,868406666666667;0,231234375529822;353;117,365525886721
"julho_2015";15;"quadrienal";"4_yrs";"aunderground";154;293;389;0,868406666666667;0,231234375529822;353;117,365525886721
"julho_2015";15;"quadrienal";"4_yrs";"aunderground";88;487;389;0,868406666666667;0,231234375529822;353;117,365525886721
"julho_2015";21;"quadrienal";"4_yrs";"aunderground";120;477;424,75;0,969524;0,221410479155798;546;393,15137033972
"julho_2015";21;"quadrienal";"4_yrs";"aunderground";52;485;424,75;0,969524;0,221410479155798;546;393,15137033972
"julho_2015";21;"quadrienal";"4_yrs";"aunderground";110;313;424,75;0,969524;0,221410479155798;546;393,15137033972
"julho_2015";21;"quadrienal";"4_yrs";"aunderground";62;424;424,75;0,969524;0,221410479155798;546;393,15137033972
