Data;Plot;Treatment;time_last_fire;alt_sensor;soil_heating;surface
julho_2015;17;Bienal;2_yrs;aunderground;45;581
julho_2015;17;Bienal;2_yrs;aunderground;63;505
julho_2015;17;Bienal;2_yrs;aunderground;59;490
julho_2015;17;Bienal;2_yrs;aunderground;66;500
julho_2015;10;Bienal;2_yrs;aunderground;82;407
julho_2015;10;Bienal;2_yrs;aunderground;64;260
julho_2015;10;Bienal;2_yrs;aunderground;38;431
julho_2015;10;Bienal;2_yrs;aunderground;41;352
julho_2015;23;Bienal;2_yrs;aunderground;39;460
julho_2015;23;Bienal;2_yrs;aunderground;39;362
julho_2015;23;Bienal;2_yrs;aunderground;45;371
julho_2015;23;Bienal;2_yrs;aunderground;63;163
julho_2015;2;Bienal;2_yrs;aunderground;39;176
julho_2015;2;Bienal;2_yrs;aunderground;65;296
julho_2015;2;Bienal;2_yrs;aunderground;64;384
julho_2015;2;Bienal;2_yrs;aunderground;38;477
julho_2015;20;anual;1_yr;aunderground;29;249
julho_2015;20;anual;1_yr;aunderground;64;291
julho_2015;20;anual;1_yr;aunderground;36;286
julho_2015;20;anual;1_yr;aunderground;30;388
julho_2015;16;anual;1_yr;aunderground;30;288
julho_2015;16;anual;1_yr;aunderground;62;366
julho_2015;16;anual;1_yr;aunderground;63;300
julho_2015;11;anual;1_yr;aunderground;40;280
julho_2015;11;anual;1_yr;aunderground;48;260
julho_2015;11;anual;1_yr;aunderground;34;368
julho_2015;11;anual;1_yr;aunderground;49;275
julho_2015;4;anual;1_yr;aunderground;31;667
julho_2015;4;anual;1_yr;aunderground;29;292
julho_2015;4;anual;1_yr;aunderground;68;335
julho_2015;4;anual;1_yr;aunderground;34;300
julho_2015;7;quadrienal;4_yrs;aunderground;60;252
julho_2015;7;quadrienal;4_yrs;aunderground;43;214
julho_2015;7;quadrienal;4_yrs;aunderground;62;208
julho_2015;7;quadrienal;4_yrs;aunderground;63;307
julho_2015;5;quadrienal;4_yrs;aunderground;39;394
julho_2015;5;quadrienal;4_yrs;aunderground;72;275
julho_2015;5;quadrienal;4_yrs;aunderground;80;169
julho_2015;5;quadrienal;4_yrs;aunderground;40;538
julho_2015;15;quadrienal;4_yrs;aunderground;131;408
julho_2015;15;quadrienal;4_yrs;aunderground;84;368
julho_2015;15;quadrienal;4_yrs;aunderground;154;293
julho_2015;15;quadrienal;4_yrs;aunderground;88;487
julho_2015;21;quadrienal;4_yrs;aunderground;120;477
julho_2015;21;quadrienal;4_yrs;aunderground;52;485
julho_2015;21;quadrienal;4_yrs;aunderground;110;313
julho_2015;21;quadrienal;4_yrs;aunderground;62;424
