parcela,data,treatment,tratamento,underground,soil surface,aboveground
17,06/ago,2_yrs,Modal,45,581,440
17,06/ago,2_yrs,Modal,63,505,496
17,06/ago,2_yrs,Modal,59,490,170
17,06/ago,2_yrs,Modal,66,500,300
10,06/ago,2_yrs,Modal,82,407,231
10,06/ago,2_yrs,Modal,64,260,234
10,06/ago,2_yrs,Modal,38,431,151
10,06/ago,2_yrs,Modal,41,352,75
23,07/ago,2_yrs,Modal,39,460,463
23,07/ago,2_yrs,Modal,39,362,451
23,07/ago,2_yrs,Modal,45,371,496
23,07/ago,2_yrs,Modal,63,163,367
2,07/ago,2_yrs,Modal,39,176,358
2,07/ago,2_yrs,Modal,65,296,207
2,07/ago,2_yrs,Modal,64,384,390
2,07/ago,2_yrs,Modal,38,477,353
20,07/ago,1_yr,Anual,29,249,420
20,07/ago,1_yr,Anual,64,291,259
20,07/ago,1_yr,Anual,36,286,370
20,07/ago,1_yr,Anual,30,388,150
16,08/ago,1_yr,Anual,30,288,252
16,08/ago,1_yr,Anual,62,366,235
16,08/ago,1_yr,Anual,63,300,396
16,08/ago,1_yr,Anual,40,280,300
11,08/ago,1_yr,Anual,48,260,281
11,08/ago,1_yr,Anual,34,368,215
11,08/ago,1_yr,Anual,49,275,373
7,09/ago,4_yrs,Quadrienal,60,667,561
7,09/ago,4_yrs,Quadrienal,43,292,585
7,09/ago,4_yrs,Quadrienal,62,335,294
7,09/ago,4_yrs,Quadrienal,63,300,325
4,09/ago,1_yr,Anual,31,252,259
4,09/ago,1_yr,Anual,29,214,304
4,09/ago,1_yr,Anual,68,208,327
4,09/ago,1_yr,Anual,34,307,300
5,11/ago,4_yrs,Quadrienal,39,394,610
5,11/ago,4_yrs,Quadrienal,72,275,385
5,11/ago,4_yrs,Quadrienal,80,169,376
5,11/ago,4_yrs,Quadrienal,40,538,400
15,11/ago,4_yrs,Quadrienal,131,408,589
15,11/ago,4_yrs,Quadrienal,84,368,508
15,11/ago,4_yrs,Quadrienal,,293,528
15,11/ago,4_yrs,Quadrienal,88,487,500
21,11/ago,4_yrs,Quadrienal,120,477,497
21,11/ago,4_yrs,Quadrienal,52,485,
21,11/ago,4_yrs,Quadrienal,110,313,687
21,11/ago,4_yrs,Quadrienal,62,424,400
