Data,Plot,Subplot,Treatment,Water_content
Ago_2015,2,1,Biennial,10.76271186
Ago_2015,2,2,Biennial,7.227129338
Ago_2015,2,3,Biennial,6.566878981
Ago_2015,2,4,Biennial,30.45544554
Ago_2015,2,5,Biennial,14.10714286
Ago_2015,4,1,Annual,30.54498715
Ago_2015,4,2,Annual,29.27388535
Ago_2015,4,3,Annual,29.0931677
Ago_2015,4,4,Annual,6.784210526
Ago_2015,4,5,Annual,39.490625
Ago_2015,4,6,Annual,45.8047619
Ago_2015,5,1,Quadriennial,23.31983806
Ago_2015,5,2,Quadriennial,27.71810089
Ago_2015,5,3,Quadriennial,23.09727626
Ago_2015,5,4,Quadriennial,27.80108992
Ago_2015,5,5,Quadriennial,21.74632353
Ago_2015,5,6,Quadriennial,14.23343849
Ago_2015,7,1,Quadriennial,23.06644518
Ago_2015,7,2,Quadriennial,24.16040956
Ago_2015,7,3,Quadriennial,23.08282828
Ago_2015,7,4,Quadriennial,28.27539503
Ago_2015,7,5,Quadriennial,29.53420446
Ago_2015,7,6,Quadriennial,23.63665595
Ago_2015,10,4,Biennial,44.35135135
Ago_2015,11,2,Annual,52.34269663
Ago_2015,11,3,Annual,41.68981481
Ago_2015,11,4,Annual,25.38020833
Ago_2015,11,5,Annual,24.5
Ago_2015,15,1,Quadriennial,19.36870027
Ago_2015,15,2,Quadriennial,27.5016835
Ago_2015,15,3,Quadriennial,27.66561514
Ago_2015,15,4,Quadriennial,23.96108949
Ago_2015,15,5,Quadriennial,27.73160173
Ago_2015,15,6,Quadriennial,40.89939638
Ago_2015,16,1,Annual,28.65700483
Ago_2015,16,2,Annual,42.44235294
Ago_2015,16,3,Annual,20.59704641
Ago_2015,16,4,Annual,6.184210526
Ago_2015,16,5,Annual,33.80237154
Ago_2015,16,6,Annual,20.18565401
Ago_2015,17,1,Biennial,14.68597561
Ago_2015,17,2,Biennial,10.64761905
Ago_2015,17,3,Biennial,6.918767507
Ago_2015,17,4,Biennial,11.96296296
Ago_2015,17,5,Biennial,14.97356828
Ago_2015,20,1,Annual,30.1938326
Ago_2015,20,2,Annual,14.92682927
Ago_2015,20,3,Annual,15.74011299
Ago_2015,20,4,Annual,30.95408163
Ago_2015,20,5,Annual,6.825806452
Ago_2015,20,6,Annual,14.60273973
Ago_2015,21,1,Quadriennial,23.16898955
Ago_2015,21,2,Quadriennial,20.04451039
Ago_2015,21,3,Quadriennial,21.73737374
Ago_2015,21,4,Quadriennial,22.72483221
Ago_2015,21,6,Quadriennial,26.59574468
Ago_2015,23,1,Biennial,18.40059347
Ago_2015,23,2,Biennial,10.71803853
Ago_2015,23,3,Biennial,26.16216216
Ago_2015,23,4,Biennial,26.62025316
Ago_2015,23,5,Biennial,24.5743073
